buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
50.0,1.0,100.0,14.0,2.2263392417265524,100,50.0,44.9167914390564
100.0,2.0,100.0,0.0,13.088234738856062,200,100.0,52.55724215507507
150.0,3.0,100.0,14.0,12.915307588674374,300,150.0,60.29999375343323
200.0,4.0,100.0,19.0,12.968390000791219,400,200.0,68.01105237007141
250.0,5.0,100.0,0.0,12.922021376477556,500,250.0,75.74978113174438
300.0,6.0,100.0,0.0,12.485380452931057,600,300.0,83.75915002822876
350.0,7.0,100.0,0.0,12.325089492206386,700,350.0,91.87268209457397
400.0,8.0,100.0,0.0,12.737744506957315,800,400.0,99.72336673736572
450.0,9.0,100.0,0.0,12.427830693302095,900,450.0,107.76982474327087
500.0,10.0,100.0,0.0,12.026574681794852,1000,500.0,116.08474516868591
550.0,11.0,100.0,0.0,12.968054798273092,1100,550.0,123.79600262641907
600.0,12.0,100.0,0.0,13.143576902762286,1200,600.0,131.40428280830383
650.0,13.0,100.0,8.0,12.461662145803892,1300,650.0,139.42889618873596
700.0,14.0,100.0,0.0,12.488541462242662,1400,700.0,147.43623757362366
750.0,15.0,100.0,0.0,13.052566037493937,1500,750.0,155.09756731987
800.0,16.0,100.0,0.0,12.703680683751344,1600,800.0,162.96930313110352
850.0,17.0,100.0,0.0,12.589224237032449,1700,850.0,170.91260528564453
900.0,18.0,100.0,0.0,12.591047327499243,1800,900.0,178.8547580242157
950.0,19.0,100.0,0.0,12.588652929281869,1900,950.0,186.7984209060669
1000.0,20.0,100.0,0.0,12.71927522246732,2000,1000.0,194.66050553321838
1050.0,21.0,100.0,0.0,2.9033804327325092,2100,1050.0,229.10311675071716
1100.0,22.0,100.0,0.0,10.440752785946799,2200,1100.0,238.68097138404846
1150.0,23.0,100.0,14.0,11.37599256410093,2300,1150.0,247.47141408920288
1200.0,24.0,100.0,0.0,11.503127354058616,2400,1200.0,256.1647033691406
1250.0,25.0,100.0,0.0,11.501752025336682,2500,1250.0,264.8590319156647
1300.0,26.0,100.0,0.0,11.521633168998516,2600,1300.0,273.53835821151733
1350.0,27.0,100.0,0.0,11.188834768387233,2700,1350.0,282.4758403301239
1400.0,28.0,100.0,0.0,11.155322835022206,2800,1400.0,291.44017219543457
1450.0,29.0,100.0,0.0,11.734726551587578,2900,1450.0,299.9618887901306
1500.0,30.0,100.0,0.0,11.156604984209787,3000,1500.0,308.9251902103424
1550.0,31.0,100.0,0.0,11.459938736668029,3100,1550.0,317.65124130249023
1600.0,32.0,100.0,0.0,11.321394078152391,3200,1600.0,326.4840772151947
1650.0,33.0,100.0,0.0,11.425110911426778,3300,1650.0,335.2367284297943
1700.0,34.0,100.0,0.0,11.578782284731213,3400,1700.0,343.8732168674469
1750.0,35.0,100.0,0.0,11.463454537414261,3500,1750.0,352.5965917110443
1800.0,36.0,100.0,0.0,11.72218468357999,3600,1800.0,361.12742590904236
1850.0,37.0,100.0,0.0,11.035570612495292,3700,1850.0,370.1890344619751
1900.0,38.0,100.0,14.0,11.536421092748304,3800,1900.0,378.85723543167114
1950.0,39.0,100.0,3.0,11.26654933184857,3900,1950.0,387.7330687046051
2000.0,40.0,100.0,0.0,11.283514943776307,4000,2000.0,396.59555673599243
2050.0,41.0,100.0,0.0,2.960308513780727,4100,2050.0,430.37582087516785
2100.0,42.0,100.0,0.0,11.488357897162764,4200,2100.0,439.08028626441956
2150.0,43.0,100.0,0.0,11.432823361153096,4300,2150.0,447.8270335197449
2200.0,44.0,100.0,0.0,11.4660116988582,4400,2200.0,456.5484631061554
2250.0,45.0,100.0,0.0,11.198118809676588,4500,2250.0,465.4785358905792
2300.0,46.0,100.0,0.0,11.523891493802964,4600,2300.0,474.15616106987
2350.0,47.0,100.0,0.0,11.144090161217578,4700,2350.0,483.12952852249146
2400.0,48.0,100.0,0.0,11.191622932935125,4800,2400.0,492.0647840499878
